title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
"Furnished 6bdrm Duplex in Adamac Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,125000000.0,enterprise,1980.0,6.0,6.0,Furnished
"4bdrm Duplex in Stadium Rd Ph, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,180000000.0,enterprise,520.0,4.0,4.0,Semi-Furnished
Furnished 7bdrm Duplex in Port-Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,820.0,7.0,5.0,Furnished
4bdrm Duplex in Rumuibekwe Estate for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,460.0,4.0,5.0,Semi-Furnished
"5bdrm Duplex in River Park Estate, for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),350000000.0,enterprise,450.0,5.0,6.0,Unfurnished
5bdrm Duplex in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),500000000.0,enterprise,800.0,5.0,5.0,Semi-Furnished
"Furnished 5bdrm Duplex in New Road Off Ada, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,320000000.0,enterprise,465.0,5.0,5.0,Furnished
"Furnished 3bdrm Duplex in Favour Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,110000000.0,enterprise,320.0,3.0,3.0,Furnished
"Furnished 4bdrm Bungalow in Rukpokwu, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,60000000.0,enterprise,460.0,4.0,4.0,Furnished
"2bdrm Block of Flats in Abuloma Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,460.0,2.0,3.0,Semi-Furnished
"Furnished 4bdrm Bungalow in Shedrack Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,450.0,4.0,5.0,Furnished
"2bdrm Block of Flats in Sweetvila Hotel Rd, Port-Harcourt for Sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,90000000.0,enterprise,980.0,2.0,3.0,Semi-Furnished
"Furnished 2bdrm Block of Flats in Odani Estate Off, Port-Harcourt","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,956.0,2.0,3.0,Furnished
"4bdrm Bungalow in Ada George, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,200000000.0,enterprise,980.0,4.0,5.0,Semi-Furnished
"5bdrm Duplex in Nta Rd P/H, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,135000000.0,enterprise,465.0,5.0,5.0,Semi-Furnished
"Furnished 4bdrm Duplex in Rumughaolu Off Sars, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,470.0,4.0,4.0,Furnished
"6bdrm Duplex in New Gra, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,170000000.0,enterprise,460.0,6.0,5.0,Semi-Furnished
"4bdrm Duplex in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),250000000.0,enterprise,450.0,4.0,5.0,Unfurnished
"5bdrm Duplex in Ochacho, Idu for sale","Jiwa, Idu",Idu,Jiwa,600000000.0,enterprise,600.0,5.0,6.0,Unfurnished
4bdrm Duplex in Apo for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),400000000.0,enterprise,500.0,4.0,5.0,Unfurnished
"Furnished 5bdrm Duplex in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),230000000.0,enterprise,500.0,5.0,6.0,Furnished
5bdrm Duplex in Gaduwa for sale,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),380000000.0,enterprise,500.0,5.0,6.0,Unfurnished
5bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,550000000.0,enterprise,400.0,5.0,5.0,Semi-Furnished
"6bdrm Duplex in Minita Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,250000000.0,enterprise,798.0,6.0,6.0,Semi-Furnished
"5bdrm Duplex in Iwofe Off Ada George, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,130000000.0,enterprise,689.0,5.0,5.0,Semi-Furnished
"4bdrm Duplex in New Rd Off Ada, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,125000000.0,enterprise,465.0,4.0,4.0,Semi-Furnished
